open;high;low;close;volume;marketCap;timestamp
27.63786429;28.2519263708;27.6132740649;28.210516441;48513236.98;460628894.03;"2023-11-04T00:00:00.000Z"
28.2080809635;28.8502520312;28.0546694463;28.681140445;49868947.02;468313369.25;"2023-11-05T00:00:00.000Z"
28.6820767457;29.8384511993;28.3452051267;29.7880861175;51569383.29;486387875.68;"2023-11-06T00:00:00.000Z"
29.7939608858;30.1498534855;28.4163265085;29.2700131132;55162393.05;477928640.43;"2023-11-07T00:00:00.000Z"
29.2706256623;30.2767424413;29.080648867;30.1338061272;50552336.47;492032884.91;"2023-11-08T00:00:00.000Z"
30.1314911179;30.952676679;27.9505266359;29.5136343204;76588453.68;481906552.98;"2023-11-09T00:00:00.000Z"
29.5133986986;30.5622146378;29.1005200624;30.4046284002;61892699.18;496454943.77;"2023-11-10T00:00:00.000Z"
30.4046452161;30.7069871612;29.2481798495;30.2999065203;64499785.31;494745016.77;"2023-11-11T00:00:00.000Z"
30.3343878113;31.580418137;29.472515038;31.2257467051;66493710.75;509862384.13;"2023-11-12T00:00:00.000Z"
31.2260873334;31.7399543117;29.7189663542;29.7189663542;62632342.84;485259269.61;"2023-11-13T00:00:00.000Z"
29.7236823152;30.418435109;28.4960740741;29.3865460825;64472721.89;479831422.07;"2023-11-14T00:00:00.000Z"
29.38847907;30.5739675308;29.3142690676;30.4027273684;61521649.7;496423903.21;"2023-11-15T00:00:00.000Z"
30.4012989356;30.9482026759;29.0685830088;29.5121929773;69835651.24;481883018.34;"2023-11-16T00:00:00.000Z"
29.5138203998;30.2809814259;28.2801657026;29.2860745607;69140295.01;478190896.06;"2023-11-17T00:00:00.000Z"
29.288165198;29.3202200579;27.8349185351;28.9110042035;64269114.89;472066646.47;"2023-11-18T00:00:00.000Z"
28.9113059194;29.311906019;28.3032494254;29.2814770065;53501131.3;478115825.96;"2023-11-19T00:00:00.000Z"
29.2778685752;29.6215632602;28.6375052754;28.9395693263;60044002.01;472533065.47;"2023-11-20T00:00:00.000Z"
28.9359766929;29.2656292516;26.8544044153;26.9498583819;67793256.26;440044530.44;"2023-11-21T00:00:00.000Z"
26.9194516197;28.6815528508;26.8370286032;28.4562278216;66747904.16;464640935.49;"2023-11-22T00:00:00.000Z"
28.4619128054;28.8560580848;28.2639623505;28.8081862298;63209386.62;470387806.97;"2023-11-23T00:00:00.000Z"
28.8068839905;30.1416644493;28.7608012642;29.5797540383;65126327.83;482986173.5;"2023-11-24T00:00:00.000Z"
29.5823884211;30.245331523;29.5309289378;30.0901147658;65533281.23;491319480.62;"2023-11-25T00:00:00.000Z"
30.0905055784;30.1773527533;29.0270285868;29.5611603296;57609038.07;482682570.43;"2023-11-26T00:00:00.000Z"
29.5574297314;29.7006419032;28.35192153;28.7880524372;59841278.49;470059056.99;"2023-11-27T00:00:00.000Z"
28.7868983297;29.4893216295;28.1923215871;28.9758509295;69338755.62;473125481.24;"2023-11-28T00:00:00.000Z"
28.9740392417;29.3051043493;28.7550210219;29.0754937832;64541559.34;474752476.54;"2023-11-29T00:00:00.000Z"
29.0780787907;29.7293264356;28.9678288048;29.4827816648;60627652.93;481402782.52;"2023-11-30T00:00:00.000Z"
29.4766738289;29.8742079353;29.2789472451;29.7727252871;60637333.21;486137059.91;"2023-12-01T00:00:00.000Z"
29.772847143;31.6736706921;29.772847143;31.4622397;60311938.62;513723905.3;"2023-12-02T00:00:00.000Z"
