open;high;low;close;volume;marketCap;timestamp
28.9652411708;30.0114702363;28.865125448;29.8151698572;47294807.53;343637942.64;"2023-11-04T00:00:00.000Z"
29.8129243562;30.6930469033;29.8129243562;30.4516110245;56626270.24;351011544.5;"2023-11-05T00:00:00.000Z"
30.451642273;31.2439671992;30.0675587565;31.0886818655;51788651.52;358394896.12;"2023-11-06T00:00:00.000Z"
31.0887825602;31.7104226853;30.2074523057;30.9137323412;56231464.37;356417322.6;"2023-11-07T00:00:00.000Z"
30.9130752766;31.6625310412;30.7248228427;31.4273266328;48381550.52;362377858.42;"2023-11-08T00:00:00.000Z"
31.426569413;32.5343453331;29.1840715213;30.4613600746;88178468.11;351275154.89;"2023-11-09T00:00:00.000Z"
30.4579495104;32.2562407871;30.336064674;32.0990316612;64357538.29;370204539.52;"2023-11-10T00:00:00.000Z"
32.0973142432;33.1894325087;31.3033772135;33.1035519907;58848547.76;381832230.92;"2023-11-11T00:00:00.000Z"
33.1036529384;33.9093321141;32.0093893778;33.6737529619;60222177.47;388451823.03;"2023-11-12T00:00:00.000Z"
33.6762063812;34.2308112648;32.0504763569;32.1517831789;66712680.23;370935016.88;"2023-11-13T00:00:00.000Z"
32.1488639533;32.4880573692;30.3729329381;30.9121572872;56137819.7;356672511.17;"2023-11-14T00:00:00.000Z"
30.9170516149;32.3599719361;30.9170516149;32.262169995;57808904.73;372290515.76;"2023-11-15T00:00:00.000Z"
32.2629012071;32.5956661466;30.1545952392;30.6404058897;61888508.08;353614576.14;"2023-11-16T00:00:00.000Z"
30.6395311991;31.3018212921;29.6835841971;30.6937955245;50277338.08;354270151.15;"2023-11-17T00:00:00.000Z"
30.6981564117;30.7431313709;29.2594944778;29.8857466631;46907802.91;344981070.25;"2023-11-18T00:00:00.000Z"
29.8870354607;30.6669303564;29.3864533503;30.6421429595;46216825.37;353750903.85;"2023-11-19T00:00:00.000Z"
30.6405111528;31.22636825;30.4717906045;30.7267624088;49251913.14;354766691.38;"2023-11-20T00:00:00.000Z"
30.7179748215;31.1966292653;27.996907954;28.1734485238;57254476.92;325322032.82;"2023-11-21T00:00:00.000Z"
28.1664255268;29.4766351152;28.0893058167;29.1722753737;63843985.76;336892658.82;"2023-11-22T00:00:00.000Z"
29.1693825512;29.7850261943;29.0296197394;29.6160643039;50522489.9;342055531.2;"2023-11-23T00:00:00.000Z"
29.6155794122;30.4515303243;29.5627576443;30.1258416235;48248193.64;347981278.05;"2023-11-24T00:00:00.000Z"
30.1256766178;31.1821254702;30.0643427524;31.1261325886;44278622.5;359702821.31;"2023-11-25T00:00:00.000Z"
31.129419297;31.1933529092;30.2882459004;30.7812343651;48972529.4;355759629.99;"2023-11-26T00:00:00.000Z"
30.7776846977;30.9542585451;29.1559470893;29.7873949588;51798352.01;344310854.94;"2023-11-27T00:00:00.000Z"
29.7865932973;30.4546785472;29.197380913;30.0133465366;45725099.84;346960535.35;"2023-11-28T00:00:00.000Z"
30.0129872194;30.3973927351;29.5649138619;29.9924132228;50311961.4;346756572.57;"2023-11-29T00:00:00.000Z"
29.9937079336;30.2509257013;29.8378590525;30.1725350412;43386864.21;348877236.08;"2023-11-30T00:00:00.000Z"
30.1708518489;30.695945529;30.0776955091;30.6508756393;52036021.13;354446818.21;"2023-12-01T00:00:00.000Z"
30.6520036788;31.9736764874;30.6490360698;31.8940825898;54333461.39;368864003.81;"2023-12-02T00:00:00.000Z"
