open;high;low;close;volume;marketCap;timestamp
1.0006131294;1.0012694998;1.0003255158;1.0007808152;20039891292.2;85424408086.93;"2023-11-04T00:00:00.000Z"
1.0008499935;1.0015408614;1.0004607744;1.000723722;27539467535.33;85429541975.52;"2023-11-05T00:00:00.000Z"
1.0006775034;1.0012085435;1.0001165855;1.0003165117;28998480107.22;85419287092.58;"2023-11-06T00:00:00.000Z"
1.0003046801;1.0011084804;1.0000355002;1.0005687528;37131401565.22;85788749847.11;"2023-11-07T00:00:00.000Z"
1.0004994361;1.0009660356;0.9999102254;1.0003547143;31439123892.78;86117619483.93;"2023-11-08T00:00:00.000Z"
1.0003864724;1.0008165403;0.9995781517;1.0000930645;71681797266.26;86271992581.5;"2023-11-09T00:00:00.000Z"
1.0001730086;1.0007205806;0.9997428387;0.9999981618;50393389956.92;86517091002.48;"2023-11-10T00:00:00.000Z"
1.0002555024;1.0008167126;0.9997164115;0.9998328309;40492882175.07;86659451705.73;"2023-11-11T00:00:00.000Z"
0.9999349746;1.000776543;0.9996617318;1.0001427014;34090921591.03;86806526555.09;"2023-11-12T00:00:00.000Z"
1.0002527838;1.0012309001;0.9998759816;1.0003737503;47623447835.07;86836898978.2;"2023-11-13T00:00:00.000Z"
1.0006635248;1.000803628;0.9995981492;1.0002587932;47902433058.74;87099810113.13;"2023-11-14T00:00:00.000Z"
1.0002497228;1.0009317122;1.0000222367;1.0007700543;49894898098.37;87390516958.97;"2023-11-15T00:00:00.000Z"
1.0006063147;1.0007933987;0.9997533043;1.0000385889;52458412049.23;87438165416.96;"2023-11-16T00:00:00.000Z"
1.0001818555;1.0006172491;0.9998649184;1.0005780762;45809290050.31;87580498276.75;"2023-11-17T00:00:00.000Z"
1.0004369217;1.0008371737;1.0001614144;1.0005977495;30549410765.32;87730693634.5;"2023-11-18T00:00:00.000Z"
1.0005978736;1.0008109444;1.0001914295;1.0004536885;28609109543.62;87733369552.83;"2023-11-19T00:00:00.000Z"
1.0004916778;1.0010066777;1.0000335051;1.0005969973;40570824216.35;87768525294.68;"2023-11-20T00:00:00.000Z"
1.0005179079;1.0008652003;0.9997921515;1.0003891492;48932459629.43;88061345528.78;"2023-11-21T00:00:00.000Z"
1.0003740817;1.000684002;0.9998569586;1.0003376833;43622993258.51;88338473236.48;"2023-11-22T00:00:00.000Z"
1.0003611444;1.0004774614;0.9999167188;1.0001416511;28640324595.86;88511403088.93;"2023-11-23T00:00:00.000Z"
1.000149375;1.0008581681;0.9999233495;1.0003534023;40071555958.33;88546146717.48;"2023-11-24T00:00:00.000Z"
1.0002637738;1.0008170902;0.9999262166;1.0004794364;23045093191.54;88753857444.59;"2023-11-25T00:00:00.000Z"
1.0004857875;1.0006094512;0.9996230168;1.0002106939;30299804822.07;88747520627.29;"2023-11-26T00:00:00.000Z"
1.0002144372;1.000661344;0.9998351502;0.9999800437;38568585544.74;88782054202.02;"2023-11-27T00:00:00.000Z"
1.0001124934;1.0006683756;0.9998883859;1.0003769265;37720536626.25;88932387335;"2023-11-28T00:00:00.000Z"
1.0003260265;1.0008165224;0.9998885212;1.0002195978;35115076721.53;89099270942.99;"2023-11-29T00:00:00.000Z"
1.0002358864;1.000389631;0.9998626139;1.0001564216;29247809690.98;89295692262.09;"2023-11-30T00:00:00.000Z"
1.0001955263;1.0006298891;0.9998314819;1.000185067;36738335582.29;89368296862.01;"2023-12-01T00:00:00.000Z"
1.0001991393;1.0005605524;0.9996926317;1.0003639197;31086578260.96;89559629954.25;"2023-12-02T00:00:00.000Z"
